Tanggal Pemesanan,No. Transaksi,ID Produk,ID Kustomer,Nama Kustomer,Segmentasi,Kota,Provinsi,Negara,Kategori Produk,Sub Kategori Produk,Nama Produk, Harga Satuan,Kuantitas, Total Penjualan,Metode Pembayaran,Metode Pengiriman, Profit,,Question
8/12/2023,ELX604719,EP49336,CE8129,Koko Saefullah,Home Office,Medan,Sumatera Utara,Indonesia,Smartphone,Android Phone,Samsung Galaxy S21, Rp 20.474.162 ,1, Rp 20.474.162 ,Debit,Gojek, Rp 3.423.440 ,,
2/16/2024,ELX604720,EP19403,CE7789,Lantar Yolanda,Consumer,Tanjung Selor,Kalimantan Timur,Indonesia,Peralatan Rumah,Mesin Cuci,Sharp Washing Machine, Rp 23.180.890 ,1, Rp 23.180.890 ,QRIS,JNE, Rp 1.345.725 ,,
1/15/2024,ELX604721,EP78933,CE8838,"R. Aditya Mayasari, S.Sos",Home Office,Tabanan,Bali,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 15.895.844 ,3, Rp 47.687.532 ,QRIS,SiCepat, Rp 5.099.778 ,,
6/18/2025,ELX604722,EP75014,CE9059,Harsana Winarsih,Home Office,Yogyakarta,Yogyakarta,Indonesia,Smartphone,Android Phone,Poco X5 Pro, Rp 7.864.474 ,3, Rp 23.593.422 ,Debit,J&T, Rp 2.895.836 ,,
6/10/2023,ELX604723,EP39655,CE6925,Usman Gunarto,Home Office,Yogyakarta,Yogyakarta,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Viar Q1, Rp 10.123.370 ,1, Rp 10.123.370 ,Debit,POS Indonesia, Rp 935.545 ,,
3/4/2024,ELX604724,EP80554,CE1225,"Vivi Irawan, M.TI.",Home Office,Bekasi,Jawa Barat,Indonesia,Smartphone,Android Phone,Poco X5 Pro, Rp 15.031.525 ,3, Rp 45.094.575 ,QRIS,POS Indonesia, Rp 8.454.305 ,,
5/13/2024,ELX604725,EP77447,CE5739,"Yosef Mulyani, S.Sos",Consumer,Kulon Progo,Yogyakarta,Indonesia,Tablet,Apple Tablet,iPad Air 5, Rp 8.301.611 ,3, Rp 24.904.833 ,QRIS,Ninja Xpress, Rp 4.290.097 ,,
1/15/2024,ELX604726,EP87346,CE8604,Dr. Ira Simanjuntak,Corporate,Sinjai,Sulawesi Selatan,Indonesia,Kamera,Mirrorless,Canon EOS M50, Rp 15.150.899 ,1, Rp 15.150.899 ,Cash,POS Indonesia, Rp 2.372.520 ,,
6/10/2023,ELX604727,EP72350,CE5258,Dr. Laila Saptono,Home Office,Bekasi,Jawa Barat,Indonesia,Headphone,Noise Cancelling,Sony WH-1000XM5, Rp 5.448.779 ,1, Rp 5.448.779 ,QRIS,AnterAja, Rp 580.458 ,,
12/24/2023,ELX604728,EP62183,CE1675,Karsana Prasetya,Consumer,Jakarta Barat,DKI Jakarta,Indonesia,Peralatan Dapur,Blender,Philips Blender HR2221, Rp 81.925 ,2, Rp 163.850 ,Cash,J&T, Rp 18.153 ,,
1/21/2023,ELX604729,EP45048,CE3899,Ulva Pratama,Consumer,Yogyakarta,Yogyakarta,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Gesits, Rp 19.833.324 ,2, Rp 39.666.648 ,Debit,Gojek, Rp 2.413.799 ,,
9/8/2024,ELX604730,EP98567,CE6704,Hardi Damanik,Home Office,Sragen,Jawa Tengah,Indonesia,Laptop,Gaming,MSI GF63, Rp 11.587.484 ,3, Rp 34.762.452 ,Debit,SiCepat, Rp 3.720.871 ,,
2/21/2023,ELX604731,EP83778,CE5883,Dr. Eli Wasita,Consumer,Jakarta Barat,DKI Jakarta,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 20.945.366 ,2, Rp 41.890.732 ,Cash,Grab, Rp 4.407.600 ,,
9/11/2025,ELX604732,EP22179,CE5145,Syahrini Rajata,Corporate,Bekasi,Jawa Barat,Indonesia,Laptop,Convertible,HP Pavilion x360, Rp 10.962.354 ,1, Rp 10.962.354 ,QRIS,Ninja Xpress, Rp 1.790.041 ,,
3/4/2024,ELX604733,EP32220,CE2188,Dr. Calista Yuliarti,Corporate,Depok,Jawa Barat,Indonesia,Smartphone,Android Phone,Vivo V27, Rp 24.567.525 ,1, Rp 24.567.525 ,Cash,POS Indonesia, Rp 4.870.448 ,,
3/20/2025,ELX604734,EP96702,CE6894,Anastasia Mustofa,Corporate,Cimahi,Jawa Barat,Indonesia,Kamera,Mirrorless,Sony Alpha a6400, Rp 20.846.387 ,3, Rp 62.539.161 ,Cash,JNE, Rp 3.300.145 ,,
9/22/2023,ELX604735,EP91184,CE5273,drg. Daruna Jailani,Home Office,Depok,Jawa Barat,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 3.899.834 ,3, Rp 11.699.502 ,Debit,JNE, Rp 2.203.544 ,,
4/1/2023,ELX604736,EP15308,CE7822,Adinata Sihombing,Home Office,Yogyakarta,Yogyakarta,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 20.317.029 ,3, Rp 60.951.087 ,Debit,JNE, Rp 5.227.704 ,,
5/13/2024,ELX604737,EP25162,CE4809,Capa Adriansyah,Consumer,Makassar,Sulawesi Selatan,Indonesia,Smartphone,Android Phone,Realme Narzo 50, Rp 24.166.022 ,2, Rp 48.332.044 ,Debit,Gojek, Rp 8.806.630 ,,
10/13/2023,ELX604738,EP83517,CE9038,Rosman Mustofa,Corporate,Jakarta Pusat,DKI Jakarta,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 1.963.765 ,2, Rp 3.927.530 ,Cash,Grab, Rp 751.971 ,,
11/11/2024,ELX604739,EP74267,CE3333,"Ciaobella Mandasari, S.Pd",Consumer,Bandung,Jawa Barat,Indonesia,Motor Listrik,EV Scooter,Motor Listrik United T1800, Rp 20.441.507 ,2, Rp 40.883.014 ,QRIS,Gojek, Rp 7.570.900 ,,
5/13/2024,ELX604740,EP93461,CE5157,"Caket Laksmiwati, S.Pd",Consumer,Denpasar,Bali,Indonesia,Peralatan Dapur,Blender,Philips Blender HR2221, Rp 3.650.655 ,1, Rp 3.650.655 ,Debit,Ninja Xpress, Rp 361.490 ,,
11/21/2023,ELX604741,EP59471,CE1515,"Ade Waluyo, S.E.",Consumer,Yogyakarta,Yogyakarta,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 20.439.135 ,3, Rp 61.317.405 ,Cash,Grab, Rp 8.334.897 ,,
5/24/2025,ELX604742,EP31011,CE1577,Tiara Megantara,Corporate,Purwokerto,Jawa Tengah,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 17.805.282 ,1, Rp 17.805.282 ,Cash,SiCepat, Rp 1.916.627 ,,
7/6/2024,ELX604743,EP76778,CE7960,Tari Nugroho,Home Office,Pekalongan,Jawa Tengah,Indonesia,Smartphone,Android Phone,Poco X5 Pro, Rp 15.456.860 ,2, Rp 30.913.720 ,Cash,Grab, Rp 2.211.134 ,,
4/24/2025,ELX604744,EP92093,CE9521,Nova Budiman,Consumer,Praya,NTB,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 13.494.908 ,3, Rp 40.484.724 ,Cash,Ninja Xpress, Rp 5.566.927 ,,
2/8/2025,ELX604745,EP64199,CE1238,"Drs. Belinda Anggriawan, S.Psi",Corporate,Yogyakarta,Yogyakarta,Indonesia,Peralatan Dapur,Air Fryer,Xiaomi Air Fryer, Rp 21.394.636 ,3, Rp 64.183.908 ,Debit,Grab, Rp 7.110.278 ,,
12/24/2023,ELX604746,EP60170,CE6163,Drs. Irnanto Latupono,Home Office,Bekasi,Jawa Barat,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Selis E-Max, Rp 7.088.027 ,3, Rp 21.264.081 ,QRIS,Gojek, Rp 3.361.115 ,,
1/19/2025,ELX604747,EP16537,CE6412,"Zulaikha Gunawan, M.M.",Home Office,Surabaya,Jawa Timur,Indonesia,Smartphone,iOS Phone,iPhone 13 Pro, Rp 14.038.892 ,3, Rp 42.116.676 ,QRIS,JNE, Rp 3.244.739 ,,
5/2/2023,ELX604748,EP25477,CE1198,"R. Padma Santoso, S.Gz",Consumer,Praya,NTB,Indonesia,Smartphone,Android Phone,Poco X5 Pro, Rp 8.158.625 ,3, Rp 24.475.875 ,Cash,AnterAja, Rp 3.642.160 ,,
5/24/2025,ELX604749,EP98464,CE6580,Nasim Januar,Home Office,Medan,Sumatera Utara,Indonesia,Peralatan Rumah,Mesin Cuci,Sharp Washing Machine, Rp 69.240 ,1, Rp 69.240 ,Cash,JNE, Rp 8.916 ,,
5/2/2023,ELX604750,EP20090,CE5689,Raina Usada,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Networking,Router,TP-Link Deco M5, Rp 14.834.942 ,2, Rp 29.669.884 ,QRIS,AnterAja, Rp 3.084.191 ,,
5/24/2025,ELX604751,EP37860,CE6298,Viman Situmorang,Consumer,Jakarta Pusat,DKI Jakarta,Indonesia,Peralatan Rumah,Vacuum Cleaner,Dyson V11 Vacuum, Rp 5.220.456 ,3, Rp 15.661.368 ,QRIS,J&T, Rp 1.079.015 ,,
3/4/2024,ELX604752,EP19323,CE2338,"Dr. Natalia Farida, S.Psi",Home Office,Mataram,NTB,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 17.577.204 ,2, Rp 35.154.408 ,Cash,POS Indonesia, Rp 1.863.267 ,,
9/22/2023,ELX604753,EP60979,CE6873,Siti Hutasoit,Consumer,Bandung,Jawa Barat,Indonesia,Laptop,Gaming,ASUS ROG Strix, Rp 2.262.642 ,3, Rp 6.787.926 ,Debit,JNE, Rp 949.195 ,,
6/21/2024,ELX604754,EP91621,CE8704,Bella Mangunsong,Home Office,Jakarta Barat,DKI Jakarta,Indonesia,Smartphone,Android Phone,Samsung Galaxy S21, Rp 2.884.981 ,2, Rp 5.769.962 ,Cash,SiCepat, Rp 471.656 ,,
3/20/2025,ELX604755,EP22242,CE7969,Ikin Latupono,Consumer,Tanjung Balai,Sumatera Utara,Indonesia,Peralatan Dapur,Microwave,Samsung Microwave Grill, Rp 24.319.040 ,3, Rp 72.957.120 ,Cash,JNE, Rp 10.758.535 ,,
2/16/2024,ELX604756,EP31601,CE3158,Maya Gunarto,Consumer,Bekasi,Jawa Barat,Indonesia,Kamera,Mirrorless,Canon EOS M50, Rp 8.712.714 ,2, Rp 17.425.428 ,Debit,J&T, Rp 3.290.905 ,,
9/22/2023,ELX604757,EP90617,CE1798,Ani Sitorus,Consumer,Sinjai,Sulawesi Selatan,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Alva One, Rp 1.167.772 ,3, Rp 3.503.316 ,Cash,Ninja Xpress, Rp 696.407 ,,
1/21/2023,ELX604758,EP31630,CE8433,Ganjaran Uwais,Home Office,Makassar,Sulawesi Selatan,Indonesia,Smart Home,Robot Vacuum,Ecovacs Deebot, Rp 8.536.112 ,2, Rp 17.072.224 ,QRIS,Ninja Xpress, Rp 1.995.927 ,,
8/22/2024,ELX604759,EP38955,CE5378,Sutan Bakda Budiyanto,Consumer,Makassar,Sulawesi Selatan,Indonesia,Penyimpanan,Hard Drive,WD My Passport 1TB, Rp 1.405.696 ,3, Rp 4.217.088 ,Cash,POS Indonesia, Rp 238.244 ,,
12/24/2023,ELX604760,EP66105,CE5677,"dr. Mahfud Suryono, M.Ak",Home Office,Jakarta Selatan,DKI Jakarta,Indonesia,Smart Home,Air Purifier,Xiaomi Mi Air Purifier, Rp 21.903.492 ,2, Rp 43.806.984 ,Cash,JNE, Rp 3.506.451 ,,
8/26/2025,ELX604761,EP33689,CE5205,"Karen Zulkarnain, S.Farm",Home Office,Madiun,Jawa Timur,Indonesia,Smartphone,Android Phone,Poco X5 Pro, Rp 12.669.085 ,1, Rp 12.669.085 ,Cash,AnterAja, Rp 2.270.949 ,,
1/19/2025,ELX604762,EP79289,CE9506,Danu Dongoran,Consumer,Jakarta Barat,DKI Jakarta,Indonesia,Speaker,Soundbar,Samsung Soundbar HW-T450, Rp 16.988.639 ,3, Rp 50.965.917 ,QRIS,AnterAja, Rp 8.300.829 ,,
3/20/2025,ELX604763,EP71328,CE7953,Tgk. Yuliana Gunarto,Home Office,Medan,Sumatera Utara,Indonesia,Smart Home,Air Purifier,Xiaomi Mi Air Purifier, Rp 14.601.795 ,3, Rp 43.805.385 ,Cash,AnterAja, Rp 7.268.613 ,,
12/3/2025,ELX604764,EP89063,CE4170,Warta Anggriawan,Corporate,Denpasar,Bali,Indonesia,Smartphone,Android Phone,Samsung Galaxy S21, Rp 481.619 ,2, Rp 963.238 ,Cash,Gojek, Rp 48.894 ,,
9/8/2024,ELX604765,EP64486,CE1821,Cagak Prasasta,Home Office,Bontang,Kalimantan Timur,Indonesia,Peralatan Dapur,Air Fryer,Xiaomi Air Fryer, Rp 6.733.236 ,2, Rp 13.466.472 ,Debit,JNE, Rp 1.092.509 ,,
6/10/2023,ELX604766,EP42035,CE8739,"Wage Budiyanto, M.Farm",Consumer,Penajam,Kalimantan Timur,Indonesia,Speaker,Soundbar,Samsung Soundbar HW-T450, Rp 17.918.416 ,2, Rp 35.836.832 ,Debit,POS Indonesia, Rp 6.015.778 ,,
9/22/2023,ELX604767,EP45957,CE5612,Damu Nuraini,Home Office,Bogor,Jawa Barat,Indonesia,Kamera,Mirrorless,Sony Alpha a6400, Rp 1.946.925 ,3, Rp 5.840.775 ,QRIS,J&T, Rp 475.414 ,,
3/4/2024,ELX604768,EP64328,CE3861,R.A. Rahayu Wibowo,Consumer,Bogor,Jawa Barat,Indonesia,Smartphone,Android Phone,Vivo V27, Rp 5.621.786 ,2, Rp 11.243.572 ,Cash,AnterAja, Rp 909.339 ,,
10/22/2025,ELX604769,EP18720,CE1937,Digdaya Haryanto,Corporate,Negara,Bali,Indonesia,Aksesori,Keyboard Gaming,Razer BlackWidow, Rp 18.051.521 ,3, Rp 54.154.563 ,QRIS,AnterAja, Rp 7.962.027 ,,
12/24/2023,ELX604770,EP71104,CE5142,Dalima Mustofa,Home Office,Depok,Jawa Barat,Indonesia,Headphone,Noise Cancelling,Sony WH-1000XM5, Rp 12.714.183 ,3, Rp 38.142.549 ,Cash,JNE, Rp 4.871.186 ,,
10/22/2025,ELX604771,EP39231,CE7403,Yulia Pangestu,Consumer,Semarang,Jawa Tengah,Indonesia,Laptop,Apple,MacBook Pro M2, Rp 20.540.223 ,3, Rp 61.620.669 ,Cash,Gojek, Rp 4.064.526 ,,
2/16/2024,ELX604772,EP50319,CE3365,Carub Januar,Consumer,Bandung,Jawa Barat,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 11.776.699 ,2, Rp 23.553.398 ,QRIS,POS Indonesia, Rp 1.592.456 ,,
6/18/2025,ELX604773,EP55449,CE1252,Budi Winarsih,Home Office,Medan,Sumatera Utara,Indonesia,Aksesori,Keyboard Gaming,Razer BlackWidow, Rp 21.907.607 ,1, Rp 21.907.607 ,Cash,POS Indonesia, Rp 3.484.920 ,,
2/21/2023,ELX604774,EP62772,CE9944,Lili Mandasari,Home Office,Jakarta Pusat,DKI Jakarta,Indonesia,Peralatan Dapur,Blender,Philips Blender HR2221, Rp 13.203.441 ,2, Rp 26.406.882 ,QRIS,J&T, Rp 4.032.592 ,,
9/22/2023,ELX604775,EP23865,CE1195,Salwa Damanik,Consumer,Bekasi,Jawa Barat,Indonesia,Peralatan Dapur,Blender,Philips Blender HR2221, Rp 6.247.796 ,2, Rp 12.495.592 ,Debit,POS Indonesia, Rp 1.461.952 ,,
1/19/2025,ELX604776,EP31988,CE5240,"Cut Jelita Nainggolan, M.Ak",Home Office,Jakarta Barat,DKI Jakarta,Indonesia,Laptop,Gaming,MSI GF63, Rp 14.344.904 ,3, Rp 43.034.712 ,QRIS,Gojek, Rp 6.017.816 ,,
5/24/2025,ELX604777,EP67021,CE2899,Asmadi Ramadan,Consumer,Jakarta Selatan,DKI Jakarta,Indonesia,Peralatan Rumah,Mesin Cuci,Sharp Washing Machine, Rp 9.056.188 ,3, Rp 27.168.564 ,QRIS,SiCepat, Rp 3.501.086 ,,
12/24/2023,ELX604778,EP55990,CE1945,"Karimah Budiman, M.Farm",Corporate,Praya,NTB,Indonesia,Penyimpanan,Hard Drive,WD My Passport 1TB, Rp 22.427.998 ,3, Rp 67.283.994 ,Cash,SiCepat, Rp 5.748.098 ,,
1/21/2023,ELX604779,EP98882,CE4649,"Nyoman Adriansyah, S.Pt",Home Office,Bekasi,Jawa Barat,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 2.472.248 ,2, Rp 4.944.496 ,Cash,Gojek, Rp 613.263 ,,
7/27/2023,ELX604780,EP13624,CE9929,Ajeng Lestari,Consumer,Semarang,Jawa Tengah,Indonesia,Laptop,Apple,MacBook Pro M2, Rp 22.070.413 ,3, Rp 66.211.239 ,QRIS,Gojek, Rp 4.902.188 ,,
6/21/2024,ELX604781,EP50045,CE9790,"Puput Simbolon, M.TI.",Home Office,Tasikmalaya,Jawa Barat,Indonesia,Kamera,Mirrorless,Canon EOS M50, Rp 23.491.645 ,1, Rp 23.491.645 ,Debit,J&T, Rp 1.532.970 ,,
8/12/2023,ELX604782,EP69539,CE4879,Dono Sinaga,Corporate,Makassar,Sulawesi Selatan,Indonesia,Laptop,Apple,MacBook Pro M2, Rp 19.230.619 ,2, Rp 38.461.238 ,QRIS,SiCepat, Rp 2.001.453 ,,
12/3/2025,ELX604783,EP92843,CE2711,Dr. Safina Anggriawan,Corporate,Yogyakarta,Yogyakarta,Indonesia,Laptop,Gaming,MSI GF63, Rp 10.866.214 ,1, Rp 10.866.214 ,Cash,Gojek, Rp 610.128 ,,
1/21/2023,ELX604784,EP15605,CE1664,Nilam Maulana,Consumer,Bandung,Jawa Barat,Indonesia,Smartphone,iOS Phone,iPhone SE 2022, Rp 9.155.696 ,3, Rp 27.467.088 ,Debit,POS Indonesia, Rp 2.827.949 ,,
9/8/2024,ELX604785,EP28303,CE9836,Yance Mayasari,Home Office,Bantul,Yogyakarta,Indonesia,Peralatan Rumah,AC,LG Air Conditioner, Rp 9.504.489 ,2, Rp 19.008.978 ,Cash,Gojek, Rp 3.607.151 ,,
4/1/2023,ELX604786,EP93448,CE3066,Dr. Dagel Dongoran,Home Office,Depok,Jawa Barat,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 2.454.780 ,2, Rp 4.909.560 ,QRIS,SiCepat, Rp 612.896 ,,
12/23/2024,ELX604787,EP51788,CE7578,"Rahmi Prabowo, S.IP",Corporate,Bogor,Jawa Barat,Indonesia,Networking,Router,TP-Link Deco M5, Rp 21.462.709 ,3, Rp 64.388.127 ,Cash,Grab, Rp 3.919.124 ,,
12/24/2023,ELX604788,EP57346,CE3834,Lintang Rajata,Home Office,Tanjung Balai,Sumatera Utara,Indonesia,Peralatan Rumah,Mesin Cuci,Sharp Washing Machine, Rp 7.368.127 ,1, Rp 7.368.127 ,Debit,Ninja Xpress, Rp 692.794 ,,
10/22/2025,ELX604789,EP87167,CE3610,Gasti Wastuti,Consumer,Gowa,Sulawesi Selatan,Indonesia,Motor Listrik,EV Scooter,Motor Listrik United T1800, Rp 12.825.638 ,3, Rp 38.476.914 ,Debit,JNE, Rp 4.618.241 ,,
1/19/2025,ELX604790,EP64186,CE8004,Dariati Purwanti,Home Office,Surabaya,Jawa Timur,Indonesia,Peralatan Rumah,AC,LG Air Conditioner, Rp 22.182.852 ,3, Rp 66.548.556 ,Cash,SiCepat, Rp 6.406.757 ,,
6/18/2025,ELX604791,EP43657,CE1584,"Cut Violet Nashiruddin, S.Gz",Consumer,Jakarta Selatan,DKI Jakarta,Indonesia,Laptop,Ultrabook,ASUS ZenBook, Rp 13.474.320 ,3, Rp 40.422.960 ,QRIS,SiCepat, Rp 5.686.424 ,,
9/8/2024,ELX604792,EP34181,CE3439,"Nilam Suartini, M.Ak",Home Office,Sumbawa,NTB,Indonesia,Peralatan Rumah,AC,LG Air Conditioner, Rp 2.334.329 ,1, Rp 2.334.329 ,QRIS,AnterAja, Rp 149.921 ,,
7/20/2025,ELX604793,EP61716,CE1172,Agnes Irawan,Corporate,Kulon Progo,Yogyakarta,Indonesia,Laptop,Ultrabook,ASUS ZenBook, Rp 13.776.929 ,2, Rp 27.553.858 ,Cash,Gojek, Rp 2.489.093 ,,
3/4/2024,ELX604794,EP28476,CE6383,Michelle Agustina,Consumer,Jakarta Selatan,DKI Jakarta,Indonesia,Speaker,Bluetooth Speaker,JBL Flip 6, Rp 5.844.363 ,3, Rp 17.533.089 ,Debit,AnterAja, Rp 1.860.274 ,,
10/22/2025,ELX604795,EP82719,CE4708,Nabila Purnawati,Corporate,Jakarta Selatan,DKI Jakarta,Indonesia,Motor Listrik,EV Scooter,Motor Listrik United T1800, Rp 16.220.660 ,1, Rp 16.220.660 ,Debit,J&T, Rp 2.758.469 ,,
4/9/2024,ELX604796,EP19227,CE5013,"dr. Ratna Saragih, S.Sos",Consumer,Solo,Jawa Tengah,Indonesia,Aksesori,Webcam,Logitech Brio Webcam, Rp 17.435.292 ,3, Rp 52.305.876 ,Cash,Ninja Xpress, Rp 5.261.352 ,,
8/22/2024,ELX604797,EP37478,CE3149,Yance Puspasari,Consumer,Medan,Sumatera Utara,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Gesits, Rp 20.192.418 ,2, Rp 40.384.836 ,Cash,J&T, Rp 3.591.804 ,,
12/23/2024,ELX604798,EP93672,CE7119,Ulya Wacana,Consumer,Gunungkidul,Yogyakarta,Indonesia,Peralatan Dapur,Microwave,Panasonic Microwave, Rp 11.490.539 ,3, Rp 34.471.617 ,Debit,Gojek, Rp 6.001.747 ,,
5/13/2024,ELX604799,EP60755,CE7286,Irma Januar,Consumer,Medan,Sumatera Utara,Indonesia,Printer,Laser Printer,HP LaserJet Pro, Rp 9.744.052 ,2, Rp 19.488.104 ,Debit,Ninja Xpress, Rp 1.168.133 ,,
2/21/2023,ELX604800,EP60677,CE7419,"Belinda Sirait, M.M.",Consumer,Magelang,Jawa Tengah,Indonesia,Peralatan Rumah,Kulkas,Samsung Refrigerator 2-Door, Rp 15.067.911 ,3, Rp 45.203.733 ,Cash,Grab, Rp 2.600.017 ,,
5/2/2023,ELX604801,EP64939,CE1515,Dr. Joko Adriansyah,Consumer,Surabaya,Jawa Timur,Indonesia,Peralatan Rumah,Vacuum Cleaner,Dyson V11 Vacuum, Rp 17.713.593 ,2, Rp 35.427.186 ,Debit,AnterAja, Rp 4.211.278 ,,
1/15/2024,ELX604802,EP68078,CE4093,"R.M. Darmaji Habibi, S.Kom",Consumer,Sinjai,Sulawesi Selatan,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Alva One, Rp 3.305.607 ,2, Rp 6.611.214 ,Cash,SiCepat, Rp 840.082 ,,
5/13/2024,ELX604803,EP79155,CE2019,"Dr. Farah Wahyuni, S.Ked",Consumer,Semarang,Jawa Tengah,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Gesits, Rp 1.236.372 ,2, Rp 2.472.744 ,QRIS,SiCepat, Rp 165.435 ,,
8/12/2023,ELX604804,EP60937,CE4297,Puti Kiandra Kusmawati,Corporate,Yogyakarta,Yogyakarta,Indonesia,Monitor,Gaming,ASUS TUF Gaming Monitor, Rp 1.547.622 ,3, Rp 4.642.866 ,Debit,Grab, Rp 876.618 ,,
2/16/2024,ELX604805,EP24590,CE2016,Gawati Purwanti,Consumer,Semarang,Jawa Tengah,Indonesia,Smartphone,iOS Phone,iPhone SE 2022, Rp 12.402.427 ,3, Rp 37.207.281 ,QRIS,AnterAja, Rp 3.020.495 ,,
11/11/2024,ELX604806,EP20743,CE2346,"Drs. Padma Wulandari, S.Pt",Consumer,Bandung,Jawa Barat,Indonesia,Penyimpanan,Hard Drive,WD My Passport 1TB, Rp 7.731.462 ,3, Rp 23.194.386 ,QRIS,POS Indonesia, Rp 1.953.863 ,,
2/21/2023,ELX604807,EP91807,CE6928,"Sidiq Safitri, S.Psi",Home Office,Jakarta Barat,DKI Jakarta,Indonesia,Peralatan Rumah,AC,LG Air Conditioner, Rp 11.817.116 ,3, Rp 35.451.348 ,QRIS,JNE, Rp 4.034.944 ,,
1/21/2023,ELX604808,EP50667,CE1396,Dwi Saefullah,Corporate,Bekasi,Jawa Barat,Indonesia,Peralatan Rumah,Kulkas,Samsung Refrigerator 2-Door, Rp 10.925.421 ,1, Rp 10.925.421 ,Cash,Grab, Rp 995.755 ,,
10/22/2025,ELX604809,EP90977,CE8553,Banawa Nasyidah,Home Office,Bandung,Jawa Barat,Indonesia,Penyimpanan,Hard Drive,WD My Passport 1TB, Rp 21.292.231 ,1, Rp 21.292.231 ,Cash,JNE, Rp 1.391.621 ,,
5/24/2025,ELX604810,EP26258,CE4081,"dr. Ade Suryatmi, S.E.I",Corporate,Bogor,Jawa Barat,Indonesia,Tablet,Apple Tablet,iPad Air 5, Rp 18.292.018 ,2, Rp 36.584.036 ,Debit,Ninja Xpress, Rp 3.302.775 ,,
11/21/2023,ELX604811,EP18332,CE1477,"dr. Gamanto Usada, S.Gz",Corporate,Jakarta Barat,DKI Jakarta,Indonesia,Televisi,Smart TV,"Smart TV LG 55""", Rp 1.227.918 ,1, Rp 1.227.918 ,Debit,Ninja Xpress, Rp 170.716 ,,
4/1/2023,ELX604812,EP16163,CE7329,"Hj. Ulva Usamah, S.E.I",Consumer,Bontang,Kalimantan Timur,Indonesia,Peralatan Dapur,Microwave,Samsung Microwave Grill, Rp 13.347.393 ,2, Rp 26.694.786 ,Cash,POS Indonesia, Rp 5.300.697 ,,
12/24/2023,ELX604813,EP21620,CE7898,"Siti Irawan, S.I.Kom",Consumer,Makassar,Sulawesi Selatan,Indonesia,Smartphone,Android Phone,Vivo V27, Rp 4.235.610 ,1, Rp 4.235.610 ,QRIS,J&T, Rp 410.036 ,,
2/16/2024,ELX604814,EP23582,CE8169,Slamet Zulkarnain,Consumer,Bekasi,Jawa Barat,Indonesia,Aksesori,Mouse,Logitech MX Master 3, Rp 13.076.169 ,1, Rp 13.076.169 ,Cash,JNE, Rp 1.798.582 ,,
1/21/2023,ELX604815,EP88794,CE6595,"Dirja Wulandari, M.Farm",Consumer,Semarang,Jawa Tengah,Indonesia,Headphone,Noise Cancelling,Sony WH-1000XM5, Rp 23.685.390 ,3, Rp 71.056.170 ,Cash,AnterAja, Rp 9.883.397 ,,
4/9/2024,ELX604816,EP60548,CE3591,drg. Malika Wahyuni,Home Office,Jakarta Timur,DKI Jakarta,Indonesia,Smartphone,Android Phone,Samsung Galaxy S21, Rp 17.912.067 ,1, Rp 17.912.067 ,QRIS,JNE, Rp 1.788.085 ,,
10/22/2025,ELX604817,EP49100,CE9624,Ida Damanik,Consumer,Surabaya,Jawa Timur,Indonesia,Tablet,Android Tablet,Samsung Galaxy Tab S8, Rp 18.011.267 ,1, Rp 18.011.267 ,Debit,JNE, Rp 2.421.492 ,,
10/13/2023,ELX604818,EP32614,CE7389,Gawati Hasanah,Corporate,Bandung,Jawa Barat,Indonesia,Motor Listrik,EV Scooter,Motor Listrik Smoot Tempur, Rp 984.515 ,2, Rp 1.969.030 ,Debit,Ninja Xpress, Rp 148.480 ,,
5/13/2024,ELX604819,EP90366,CE4881,"R.A. Winda Tarihoran, M.TI.",Corporate,Sleman,Yogyakarta,Indonesia,Speaker,Soundbar,Samsung Soundbar HW-T450, Rp 16.549.870 ,1, Rp 16.549.870 ,Cash,AnterAja, Rp 2.702.270 ,,
10/22/2025,ELX604820,EP19617,CE7250,R. Fathonah Puspita,Home Office,Pekalongan,Jawa Tengah,Indonesia,Laptop,Gaming,ASUS ROG Strix, Rp 17.456.160 ,2, Rp 34.912.320 ,Cash,Grab, Rp 3.562.348 ,,
